Sl. No.,Crops Session,Commodity,Variety,2017-18,2018-19,2019-20,2020-21,2021-22
1,Kharif Crops,Paddy,Common,1550,1750,1815,1868,1940
2,Kharif Crops,Paddy,Grade 'A',1590,1770,1835,1888,1960
3,Kharif Crops,Jowar,Hybrid,1700,2430,2550,2620,2738
4,Kharif Crops,Jowar,Maldandi,1725,2450,2570,2640,2758
5,Kharif Crops,Bajra,NA,1425,1950,2000,2150,2250
6,Kharif Crops,Ragi,NA,1900,2897,3150,3295,3377
7,Kharif Crops,Maize,NA,1425,1700,1760,1850,1870
8,Kharif Crops,Arhar(Tur),NA,5450,5675,5800,6000,6300
9,Kharif Crops,Moong,NA,5575,6975,7050,7196,7275
10,Kharif Crops,Urad,NA,5400,5600,5700,6000,6300
11,Kharif Crops,Cotton,Medium Staple,4020,5150,5255,5515,5726
12,Kharif Crops,Cotton,Long Staple,4320,5450,5550,5825,6025
13,Kharif Crops,Groundnut,NA,4450,4890,5090,5275,5550
14,Kharif Crops,Sunflower Seed,NA,4100,5388,5650,5885,6015
15,Kharif Crops,Soyabean,Yellow,3050,3399,3710,3880,3950
16,Kharif Crops,Sesamum,NA,5300,6249,6485,6855,7307
17,Kharif Crops,Nigerseed,NA,4050,5877,5940,6695,6930
18,Rabi Crops,Wheat,NA,1735,1840,1925,1975,2015
19,Rabi Crops,Barley,NA,1410,1440,1525,1600,1635
20,Rabi Crops,Gram,NA,4400,4620,4875,5100,5230
21,Rabi Crops,Masur (Lentil),NA,4250,4475,4800,5100,5500
22,Rabi Crops,Rapeseed/Mustard,NA,4000,4200,4425,4650,5050
23,Rabi Crops,Safflower,NA,4100,4945,5215,5327,5441
24,Rabi Crops,Toria,NA,3900,4190,4425,4650,5050
25,Other Crops,Copra,Milling,6500,7511,9521,9960,10335
26,Other Crops,Copra,Ball,6785,7750,9920,10300,10600
27,Other Crops,De-Husked Coconut,NA,1760,2030,2571,2700,2800
28,Other Crops,Jute,NA,3500,3700,3950,4225,4500
