Series,Model,Origin,Target_Year,Horizon,Actual,Predicted,Error,AbsError,APE
Arhar(Tur),Naive,2019,2020,1,6000.0,5800.0,-200.0,200.0,3.33
Arhar(Tur),Naive,2019,2021,2,6300.0,5800.0,-500.0,500.0,7.94
Arhar(Tur),Drift,2019,2020,1,6000.0,5975.0,-25.0,25.0,0.42
Arhar(Tur),Drift,2019,2021,2,6300.0,6150.0,-150.0,150.0,2.38
Arhar(Tur),Linear,2019,2020,1,6000.0,5991.67,-8.33,8.33,0.14
Arhar(Tur),Linear,2019,2021,2,6300.0,6166.67,-133.33,133.33,2.12
Arhar(Tur),RidgePoly2,2019,2020,1,6000.0,6014.67,14.67,14.67,0.24
Arhar(Tur),RidgePoly2,2019,2021,2,6300.0,6286.17,-13.83,13.83,0.22
Arhar(Tur),CAGR,2019,2020,1,6000.0,6001.99,1.99,1.99,0.03
Arhar(Tur),CAGR,2019,2021,2,6300.0,6191.71,-108.29,108.29,1.72
Arhar(Tur),Holt,2019,2020,1,6000.0,5991.67,-8.33,8.33,0.14
Arhar(Tur),Holt,2019,2021,2,6300.0,6166.67,-133.33,133.33,2.12
Arhar(Tur),"ARIMA(1,1,0)",2019,2020,1,6000.0,5905.13,-94.87,94.87,1.58
Arhar(Tur),"ARIMA(1,1,0)",2019,2021,2,6300.0,5993.54,-306.46,306.46,4.86
Arhar(Tur),RandomForest,2019,2020,1,6000.0,5752.58,-247.42,247.42,4.12
Arhar(Tur),RandomForest,2019,2021,2,6300.0,5752.58,-547.42,547.42,8.69
Arhar(Tur),GradBoost,2019,2020,1,6000.0,5800.0,-200.0,200.0,3.33
Arhar(Tur),GradBoost,2019,2021,2,6300.0,5800.0,-500.0,500.0,7.94
Arhar(Tur),Ensemble,2019,2020,1,6000.0,5991.67,-8.33,8.33,0.14
Arhar(Tur),Ensemble,2019,2021,2,6300.0,6166.67,-133.33,133.33,2.12
Arhar(Tur),Naive,2020,2021,1,6300.0,6000.0,-300.0,300.0,4.76
Arhar(Tur),Drift,2020,2021,1,6300.0,6183.33,-116.67,116.67,1.85
Arhar(Tur),Linear,2020,2021,1,6300.0,6175.0,-125.0,125.0,1.98
Arhar(Tur),RidgePoly2,2020,2021,1,6300.0,6216.89,-83.11,83.11,1.32
Arhar(Tur),CAGR,2020,2021,1,6300.0,6189.66,-110.34,110.34,1.75
Arhar(Tur),Holt,2020,2021,1,6300.0,6175.0,-125.0,125.0,1.98
Arhar(Tur),"ARIMA(1,1,0)",2020,2021,1,6300.0,6175.4,-124.6,124.6,1.98
Arhar(Tur),RandomForest,2020,2021,1,6300.0,5918.67,-381.33,381.33,6.05
Arhar(Tur),GradBoost,2020,2021,1,6300.0,6000.0,-300.0,300.0,4.76
Arhar(Tur),Ensemble,2020,2021,1,6300.0,6179.17,-120.83,120.83,1.92
Bajra,Naive,2019,2020,1,2150.0,2000.0,-150.0,150.0,6.98
Bajra,Naive,2019,2021,2,2250.0,2000.0,-250.0,250.0,11.11
Bajra,Drift,2019,2020,1,2150.0,2287.5,137.5,137.5,6.4
Bajra,Drift,2019,2021,2,2250.0,2575.0,325.0,325.0,14.44
Bajra,Linear,2019,2020,1,2150.0,2366.67,216.67,216.67,10.08
Bajra,Linear,2019,2021,2,2250.0,2654.17,404.17,404.17,17.96
Bajra,RidgePoly2,2019,2020,1,2150.0,2323.67,173.67,173.67,8.08
Bajra,RidgePoly2,2019,2021,2,2250.0,2667.17,417.17,417.17,18.54
Bajra,CAGR,2019,2020,1,2150.0,2486.04,336.04,336.04,15.63
Bajra,CAGR,2019,2021,2,2250.0,2945.21,695.21,695.21,30.9
Bajra,Holt,2019,2020,1,2150.0,2366.67,216.67,216.67,10.08
Bajra,Holt,2019,2021,2,2250.0,2654.17,404.17,404.17,17.96
Bajra,"ARIMA(1,1,0)",2019,2020,1,2150.0,2025.47,-124.53,124.53,5.79
Bajra,"ARIMA(1,1,0)",2019,2021,2,2250.0,2038.45,-211.55,211.55,9.4
Bajra,RandomForest,2019,2020,1,2150.0,1965.08,-184.92,184.92,8.6
Bajra,RandomForest,2019,2021,2,2250.0,1965.08,-284.92,284.92,12.66
Bajra,GradBoost,2019,2020,1,2150.0,2000.0,-150.0,150.0,6.98
Bajra,GradBoost,2019,2021,2,2250.0,2000.0,-250.0,250.0,11.11
Bajra,Ensemble,2019,2020,1,2150.0,2366.67,216.67,216.67,10.08
Bajra,Ensemble,2019,2021,2,2250.0,2654.17,404.17,404.17,17.96
Bajra,Naive,2020,2021,1,2250.0,2150.0,-100.0,100.0,4.44
Bajra,Drift,2020,2021,1,2250.0,2391.67,141.67,141.67,6.3
Bajra,Linear,2020,2021,1,2250.0,2437.5,187.5,187.5,8.33
Bajra,RidgePoly2,2020,2021,1,2250.0,2401.55,151.55,151.55,6.74
Bajra,CAGR,2020,2021,1,2250.0,2547.1,297.1,297.1,13.2
Bajra,Holt,2020,2021,1,2250.0,2437.5,187.5,187.5,8.33
Bajra,"ARIMA(1,1,0)",2020,2021,1,2250.0,2235.6,-14.4,14.4,0.64
Bajra,RandomForest,2020,2021,1,2250.0,2089.83,-160.17,160.17,7.12
Bajra,GradBoost,2020,2021,1,2250.0,2150.0,-100.0,100.0,4.44
Bajra,Ensemble,2020,2021,1,2250.0,2437.5,187.5,187.5,8.33
Barley,Naive,2019,2020,1,1600.0,1525.0,-75.0,75.0,4.69
Barley,Naive,2019,2021,2,1635.0,1525.0,-110.0,110.0,6.73
Barley,Drift,2019,2020,1,1600.0,1582.5,-17.5,17.5,1.09
Barley,Drift,2019,2021,2,1635.0,1640.0,5.0,5.0,0.31
Barley,Linear,2019,2020,1,1600.0,1573.33,-26.67,26.67,1.67
Barley,Linear,2019,2021,2,1635.0,1630.83,-4.17,4.17,0.25
