Model,Horizon,MAE,RMSE,MAPE,Bias,MASE
"ARIMA(1,1,0)",1,99.848,154.771,1.998,-40.792,0.492
Naive,1,202.946,246.07,4.146,-202.946,1.0
GradBoost,1,202.946,246.07,4.146,-202.946,1.0
Drift,1,249.863,361.597,5.01,214.863,1.231
RandomForest,1,314.158,387.425,6.289,-314.158,1.548
Holt,1,317.12,438.634,6.486,281.048,1.563
Linear,1,318.012,438.683,6.506,280.155,1.567
Ensemble,1,320.705,446.128,6.534,285.037,1.58
RidgePoly2,1,324.632,502.592,6.36,306.46,1.6
CAGR,1,450.335,641.942,9.194,422.013,2.219
"ARIMA(1,1,0)",2,224.137,306.006,4.717,-109.217,0.552
Naive,2,405.893,475.952,8.113,-405.893,1.0
GradBoost,2,405.893,475.952,8.113,-405.893,1.0
RandomForest,2,526.104,631.89,10.318,-526.104,1.296
Drift,2,583.107,837.173,11.426,511.679,1.437
Linear,2,631.083,867.821,12.625,560.31,1.555
Holt,2,631.085,867.825,12.625,560.312,1.555
Ensemble,2,637.89,884.747,12.7,568.456,1.572
RidgePoly2,2,870.629,1381.712,16.651,856.117,2.145
CAGR,2,972.95,1395.54,19.514,923.636,2.397
