Series,Model,MAE,RMSE,MAPE,Bias,MASE
Arhar(Tur),"ARIMA(1,1,0)",175.312,198.7,2.808,-175.312,0.526
Arhar(Tur),CAGR,73.537,89.265,1.168,-72.213,0.221
Arhar(Tur),Drift,97.222,110.659,1.55,-97.222,0.292
Arhar(Tur),Ensemble,87.5,104.0,1.391,-87.5,0.262
Arhar(Tur),GradBoost,333.333,355.903,5.344,-333.333,1.0
Arhar(Tur),Holt,88.889,105.629,1.413,-88.889,0.267
Arhar(Tur),Linear,88.889,105.629,1.413,-88.889,0.267
Arhar(Tur),Naive,333.333,355.903,5.344,-333.333,1.0
Arhar(Tur),RandomForest,392.056,410.81,6.289,-392.056,1.176
Arhar(Tur),RidgePoly2,37.202,49.373,0.594,-27.424,0.112
Bajra,"ARIMA(1,1,0)",116.827,141.974,5.278,-116.827,0.701
Bajra,CAGR,442.783,477.67,19.911,442.783,2.657
Bajra,Drift,201.389,219.546,9.045,201.389,1.208
Bajra,Ensemble,269.444,286.037,12.125,269.444,1.617
Bajra,GradBoost,166.667,177.951,7.511,-166.667,1.0
Bajra,Holt,269.444,286.036,12.125,269.444,1.617
Bajra,Linear,269.444,286.037,12.125,269.444,1.617
Bajra,Naive,166.667,177.951,7.511,-166.667,1.0
Bajra,RandomForest,210.0,216.814,9.461,-210.0,1.26
Bajra,RidgePoly2,247.46,275.169,11.118,247.46,1.485
Barley,"ARIMA(1,1,0)",22.217,22.344,1.368,-5.159,0.303
Barley,CAGR,18.999,21.722,1.173,3.269,0.259
Barley,Drift,16.944,19.442,1.044,5.278,0.231
Barley,Ensemble,16.893,20.636,1.044,0.139,0.23
Barley,GradBoost,73.333,79.477,4.519,-73.333,1.0
Barley,Holt,17.778,20.287,1.099,-2.778,0.242
Barley,Linear,17.778,20.287,1.099,-2.778,0.242
Barley,Naive,73.333,79.477,4.519,-73.333,1.0
Barley,RandomForest,102.8,106.676,6.333,-102.8,1.402
Barley,RidgePoly2,47.528,58.5,2.909,47.528,0.648
Copra (Ball),"ARIMA(1,1,0)",211.017,215.613,2.016,81.926,0.465
Copra (Ball),CAGR,2318.125,2502.002,22.004,2318.125,5.114
Copra (Ball),Drift,1504.722,1652.976,14.304,1504.722,3.319
Copra (Ball),Ensemble,1569.735,1666.584,14.908,1569.735,3.463
Copra (Ball),GradBoost,453.333,481.941,4.312,-453.333,1.0
Copra (Ball),Holt,1502.803,1598.082,14.268,1502.803,3.315
Copra (Ball),Linear,1502.778,1598.055,14.268,1502.778,3.315
