Model,MAE,RMSE,MAPE,Bias,MASE,Folds
"ARIMA(1,1,0)",141.277,217.215,2.904,-63.6,0.522,84
Naive,270.595,340.407,5.469,-270.595,1.0,84
GradBoost,270.595,340.407,5.469,-270.595,1.0,84
Drift,360.944,566.381,7.149,313.802,1.334,84
RandomForest,384.807,482.867,7.632,-384.807,1.422,84
Holt,421.775,615.879,8.532,374.136,1.559,84
Linear,422.369,615.9,8.546,373.54,1.561,84
Ensemble,426.434,627.385,8.589,379.51,1.576,84
RidgePoly2,506.631,897.093,9.79,489.679,1.872,84
CAGR,624.54,961.199,12.634,589.221,2.308,84
