Series,Model,Season_Label,Year,Forecast
Arhar(Tur),Naive,2022-23,2022,6300.0
Arhar(Tur),Naive,2023-24,2023,6300.0
Arhar(Tur),Naive,2024-25,2024,6300.0
Arhar(Tur),Drift,2022-23,2022,6512.5
Arhar(Tur),Drift,2023-24,2023,6725.0
Arhar(Tur),Drift,2024-25,2024,6937.5
Arhar(Tur),Linear,2022-23,2022,6452.5
Arhar(Tur),Linear,2023-24,2023,6655.0
Arhar(Tur),Linear,2024-25,2024,6857.5
Arhar(Tur),RidgePoly2,2022-23,2022,6539.1
Arhar(Tur),RidgePoly2,2023-24,2023,6867.8
Arhar(Tur),RidgePoly2,2024-25,2024,7238.3
Arhar(Tur),CAGR,2022-23,2022,6475.6
Arhar(Tur),CAGR,2023-24,2023,6703.3
Arhar(Tur),CAGR,2024-25,2024,6938.9
Arhar(Tur),Holt,2022-23,2022,6452.5
Arhar(Tur),Holt,2023-24,2023,6655.0
Arhar(Tur),Holt,2024-25,2024,6857.5
Arhar(Tur),"ARIMA(1,1,0)",2022-23,2022,6568.3
Arhar(Tur),"ARIMA(1,1,0)",2023-24,2023,6808.3
Arhar(Tur),"ARIMA(1,1,0)",2024-25,2024,7022.9
Arhar(Tur),RandomForest,2022-23,2022,6189.5
Arhar(Tur),RandomForest,2023-24,2023,6189.5
Arhar(Tur),RandomForest,2024-25,2024,6189.5
Arhar(Tur),GradBoost,2022-23,2022,6300.0
Arhar(Tur),GradBoost,2023-24,2023,6300.0
Arhar(Tur),GradBoost,2024-25,2024,6300.0
Arhar(Tur),Ensemble,2022-23,2022,6464.0
Arhar(Tur),Ensemble,2023-24,2023,6679.1
Arhar(Tur),Ensemble,2024-25,2024,6897.5
Bajra,Naive,2022-23,2022,2250.0
Bajra,Naive,2023-24,2023,2250.0
Bajra,Naive,2024-25,2024,2250.0
Bajra,Drift,2022-23,2022,2456.2
Bajra,Drift,2023-24,2023,2662.5
Bajra,Drift,2024-25,2024,2868.8
Bajra,Linear,2022-23,2022,2510.0
Bajra,Linear,2023-24,2023,2695.0
Bajra,Linear,2024-25,2024,2880.0
Bajra,RidgePoly2,2022-23,2022,2475.1
Bajra,RidgePoly2,2023-24,2023,2678.4
Bajra,RidgePoly2,2024-25,2024,2894.5
Bajra,CAGR,2022-23,2022,2616.0
Bajra,CAGR,2023-24,2023,2894.4
Bajra,CAGR,2024-25,2024,3202.4
Bajra,Holt,2022-23,2022,2510.0
Bajra,Holt,2023-24,2023,2695.0
Bajra,Holt,2024-25,2024,2880.0
Bajra,"ARIMA(1,1,0)",2022-23,2022,2311.5
Bajra,"ARIMA(1,1,0)",2023-24,2023,2349.3
Bajra,"ARIMA(1,1,0)",2024-25,2024,2372.5
Bajra,RandomForest,2022-23,2022,2207.0
Bajra,RandomForest,2023-24,2023,2207.0
Bajra,RandomForest,2024-25,2024,2207.0
Bajra,GradBoost,2022-23,2022,2250.0
Bajra,GradBoost,2023-24,2023,2250.0
Bajra,GradBoost,2024-25,2024,2250.0
Bajra,Ensemble,2022-23,2022,2510.0
Bajra,Ensemble,2023-24,2023,2695.0
Bajra,Ensemble,2024-25,2024,2880.0
Barley,Naive,2022-23,2022,1635.0
Barley,Naive,2023-24,2023,1635.0
Barley,Naive,2024-25,2024,1635.0
Barley,Drift,2022-23,2022,1691.2
Barley,Drift,2023-24,2023,1747.5
Barley,Drift,2024-25,2024,1803.8
Barley,Linear,2022-23,2022,1705.0
Barley,Linear,2023-24,2023,1766.0
Barley,Linear,2024-25,2024,1827.0
Barley,RidgePoly2,2022-23,2022,1723.0
Barley,RidgePoly2,2023-24,2023,1815.1
Barley,RidgePoly2,2024-25,2024,1918.1
Barley,CAGR,2022-23,2022,1714.0
Barley,CAGR,2023-24,2023,1784.2
Barley,CAGR,2024-25,2024,1857.3
Barley,Holt,2022-23,2022,1705.0
Barley,Holt,2023-24,2023,1766.0
Barley,Holt,2024-25,2024,1827.0
Barley,"ARIMA(1,1,0)",2022-23,2022,1661.0
Barley,"ARIMA(1,1,0)",2023-24,2023,1680.4
Barley,"ARIMA(1,1,0)",2024-25,2024,1694.8
Barley,RandomForest,2022-23,2022,1617.8
Barley,RandomForest,2023-24,2023,1617.8
Barley,RandomForest,2024-25,2024,1617.8
Barley,GradBoost,2022-23,2022,1635.0
Barley,GradBoost,2023-24,2023,1635.0
Barley,GradBoost,2024-25,2024,1635.0
Barley,Ensemble,2022-23,2022,1705.0
Barley,Ensemble,2023-24,2023,1766.0
Barley,Ensemble,2024-25,2024,1827.0
Copra (Ball),Naive,2022-23,2022,10600.0
Copra (Ball),Naive,2023-24,2023,10600.0
Copra (Ball),Naive,2024-25,2024,10600.0
Copra (Ball),Drift,2022-23,2022,11553.8
Copra (Ball),Drift,2023-24,2023,12507.5
Copra (Ball),Drift,2024-25,2024,13461.2
Copra (Ball),Linear,2022-23,2022,12125.0
Copra (Ball),Linear,2023-24,2023,13143.0
Copra (Ball),Linear,2024-25,2024,14161.0
Copra (Ball),RidgePoly2,2022-23,2022,12053.3
Copra (Ball),RidgePoly2,2023-24,2023,13274.1
Copra (Ball),RidgePoly2,2024-25,2024,14592.1
Copra (Ball),CAGR,2022-23,2022,12717.9
Copra (Ball),CAGR,2023-24,2023,14306.1
Copra (Ball),CAGR,2024-25,2024,16092.6
Copra (Ball),Holt,2022-23,2022,12125.0
Copra (Ball),Holt,2023-24,2023,13142.9
Copra (Ball),Holt,2024-25,2024,14160.9
Copra (Ball),"ARIMA(1,1,0)",2022-23,2022,10696.9
Copra (Ball),"ARIMA(1,1,0)",2023-24,2023,10728.2
Copra (Ball),"ARIMA(1,1,0)",2024-25,2024,10738.3
Copra (Ball),RandomForest,2022-23,2022,10462.7
Copra (Ball),RandomForest,2023-24,2023,10462.7
Copra (Ball),RandomForest,2024-25,2024,10462.7
Copra (Ball),GradBoost,2022-23,2022,10600.0
Copra (Ball),GradBoost,2023-24,2023,10600.0
Copra (Ball),GradBoost,2024-25,2024,10600.0
Copra (Ball),Ensemble,2022-23,2022,12125.0
Copra (Ball),Ensemble,2023-24,2023,13143.0
Copra (Ball),Ensemble,2024-25,2024,14161.0
Copra (Milling),Naive,2022-23,2022,10335.0
Copra (Milling),Naive,2023-24,2023,10335.0
Copra (Milling),Naive,2024-25,2024,10335.0
Copra (Milling),Drift,2022-23,2022,11293.8
Copra (Milling),Drift,2023-24,2023,12252.5
Copra (Milling),Drift,2024-25,2024,13211.2
Copra (Milling),Linear,2022-23,2022,11801.1
