Series,Season,First_MSP,Last_MSP,Absolute_Increase,Total_Growth_pct,CAGR_pct,Mean_YoY_pct,Volatility_YoY_pct,Max_YoY_pct,Min_YoY_pct
Ragi,Kharif Crops,1900.0,3377.0,1477.0,77.74,15.46,17.07,23.74,52.47,2.49
Nigerseed,Kharif Crops,4050.0,6930.0,2880.0,71.11,14.37,15.6,20.3,45.11,1.07
Jowar (Hybrid),Kharif Crops,1700.0,2738.0,1038.0,61.06,12.65,13.78,19.46,42.94,2.75
Jowar (Maldandi),Kharif Crops,1725.0,2758.0,1033.0,59.88,12.45,13.53,19.02,42.03,2.72
De-Husked Coconut,Other Crops,1760.0,2800.0,1040.0,59.09,12.31,12.68,10.67,26.65,3.7
Copra (Milling),Other Crops,6500.0,10335.0,3835.0,59.0,12.29,12.67,10.82,26.76,3.77
Bajra,Kharif Crops,1425.0,2250.0,825.0,57.89,12.1,12.89,16.1,36.84,2.56
Copra (Ball),Other Crops,6785.0,10600.0,3815.0,56.23,11.8,12.24,11.69,28.0,2.91
Sunflower Seed,Kharif Crops,4100.0,6015.0,1915.0,46.71,10.06,10.66,13.88,31.41,2.21
Cotton (Medium Staple),Kharif Crops,4020.0,5726.0,1706.0,42.44,9.25,9.73,12.31,28.11,2.04
Cotton (Long Staple),Kharif Crops,4320.0,6025.0,1705.0,39.47,8.67,9.1,11.45,26.16,1.83
Sesamum,Kharif Crops,5300.0,7307.0,2007.0,37.87,8.36,8.5,6.38,17.91,3.78
Safflower,Rabi Crops,4100.0,5441.0,1341.0,32.71,7.33,7.59,8.82,20.61,2.14
Maize,Kharif Crops,1425.0,1870.0,445.0,31.23,7.03,7.26,8.2,19.3,1.08
Moong,Kharif Crops,5575.0,7275.0,1700.0,30.49,6.88,7.34,11.86,25.11,1.08
Soyabean (Yellow),Kharif Crops,3050.0,3950.0,900.0,29.51,6.68,6.74,4.36,11.44,1.8
Toria,Rabi Crops,3900.0,5050.0,1150.0,29.49,6.67,6.68,1.63,8.6,5.08
Masur (Lentil),Rabi Crops,4250.0,5500.0,1250.0,29.41,6.66,6.66,1.12,7.84,5.29
Jute,Other Crops,3500.0,4500.0,1000.0,28.57,6.48,6.49,0.55,6.96,5.71
Rapeseed/Mustard,Rabi Crops,4000.0,5050.0,1050.0,26.25,6.0,6.01,1.73,8.6,5.0
Paddy (Common),Kharif Crops,1550.0,1940.0,390.0,25.16,5.77,5.85,4.72,12.9,2.92
Groundnut,Kharif Crops,4450.0,5550.0,1100.0,24.72,5.68,5.71,2.87,9.89,3.63
Paddy (Grade 'A'),Kharif Crops,1590.0,1960.0,370.0,23.27,5.37,5.42,3.95,11.32,2.89
Gram,Rabi Crops,4400.0,5230.0,830.0,18.86,4.41,4.42,1.3,5.52,2.55
Urad,Kharif Crops,5400.0,6300.0,900.0,16.67,3.93,3.94,1.59,5.26,1.79
Wheat,Rabi Crops,1735.0,2015.0,280.0,16.14,3.81,3.82,1.86,6.05,2.03
Barley,Rabi Crops,1410.0,1635.0,225.0,15.96,3.77,3.78,1.92,5.9,2.13
Arhar(Tur),Kharif Crops,5450.0,6300.0,850.0,15.6,3.69,3.69,1.18,5.0,2.2
